taxon_name,TaxID,updated_name,GBIF_taxon_ID,genus_id,genus_name,family_id,family_name,publication,subspecies
Smilax anceps,989897,NA,NA,49656,Smilax,4703,Smilacaceae,rothman,mountain
Solanum welwitschii,NA,NA,2932119,2928997,Solanum,7717,Solanaceae,rothman,mountain
Strombosia scheffleri,289392,NA,NA,70869,Strombosia,1003241,Strombosiaceae,rothman,mountain
Symphonia sp.,NA,Symphonia,NA,NA,NA,NA,NA,rothman,mountain
Syzygium guineense,334482,NA,NA,178174,Syzygium,3931,Myrtaceae,rothman,mountain
Tapinanthus sp.,50164,Tapinanthus,NA,50164,Tapinanthus,3963,Loranthaceae,rothman,mountain
Teclea nobilis,1220089,NA,NA,430986,Vepris,23513,Rutaceae,rothman,mountain
Triumfetta tomentosa,2709014,NA,NA,93801,Triumfetta,3629,Malvaceae,rothman,mountain
Urera cameroonensis,1237843,Urera trinervis,NA,194274,Urera,3499,Urticaceae,rothman,mountain
Urera hypselodendron,1399752,NA,NA,194274,Urera,3499,Urticaceae,rothman,mountain
Vernonia iodocalyx,83961,Baccharoides lasiopus,NA,434622,Baccharoides,4210,Asteraceae,rothman,mountain
Vernonia lasiopus,83961,NA,NA,434622,Baccharoides,4210,Asteraceae,rothman,mountain
Vernonia pteropoda,NA,NA,5396653,9569260,Ananthura,3065,Asteraceae,rothman,mountain
Vernonia tufnelliae,2676167,Distephanus biafrae,NA,434647,Distephanus,4210,Asteraceae,rothman,mountain
Vigna parkeri,460243,NA,NA,3913,Vigna,3803,Fabaceae,rothman,mountain
Xymalos monospora,74966,NA,NA,74965,Xymalos,22063,Monimiaceae,rothman,mountain
