2021-12-13 11:09:30 INFO::Writing function arguments to log file
2021-12-13 11:09:30 DEBUG::Function arguments
2021-12-13 11:09:30 DEBUG::Output folder: T3_community-level/altitude_maaslin_output
2021-12-13 11:09:30 DEBUG::Min Abundance: 0.000000
2021-12-13 11:09:30 DEBUG::Min Prevalence: 0.100000
2021-12-13 11:09:30 DEBUG::Normalization: NONE
2021-12-13 11:09:30 DEBUG::Transform: LOG
2021-12-13 11:09:30 DEBUG::Analysis method: LM
2021-12-13 11:09:30 DEBUG::Max significance: 0.250000
2021-12-13 11:09:30 DEBUG::Random effects:
2021-12-13 11:09:30 DEBUG::Fixed effects: Spec.subspecies,Approximate.altitude
2021-12-13 11:09:30 DEBUG::Correction method: BH
2021-12-13 11:09:30 DEBUG::Standardize: TRUE
2021-12-13 11:09:30 DEBUG::Cores: 1
2021-12-13 11:09:30 INFO::Verifying options selected are valid
2021-12-13 11:09:30 INFO::Determining format of input files
2021-12-13 11:09:30 INFO::Input format is data samples as rows and metadata samples as rows
2021-12-13 11:09:30 DEBUG::A total of 46 samples were found in both the data and metadata
2021-12-13 11:09:30 DEBUG::Reordering data/metadata to use same sample ordering
2021-12-13 11:09:31 INFO::Fitting model to feature number 67, X1301032
2021-12-13 11:09:31 INFO::Fitting model to feature number 68, X1981173
2021-12-13 11:09:31 INFO::Fitting model to feature number 69, X2020311
2021-12-13 11:09:31 INFO::Fitting model to feature number 70, X2590777
2021-12-13 11:09:32 INFO::Fitting model to feature number 71, X2364272
2021-12-13 11:09:32 INFO::Fitting model to feature number 72, X1703969
2021-12-13 11:09:32 INFO::Fitting model to feature number 73, X2020313
2021-12-13 11:09:32 INFO::Fitting model to feature number 74, X384
2021-12-13 11:09:32 INFO::Fitting model to feature number 75, X29449
2021-12-13 11:09:32 INFO::Fitting model to feature number 76, X379684
2021-12-13 11:09:32 INFO::Fitting model to feature number 77, X293958
2021-12-13 11:09:32 INFO::Fitting model to feature number 78, X396
2021-12-13 11:09:32 INFO::Fitting model to feature number 79, X1312183
2021-12-13 11:09:32 INFO::Fitting model to feature number 80, X348824
2021-12-13 11:09:32 INFO::Fitting model to feature number 81, X56730
2021-12-13 11:09:32 INFO::Fitting model to feature number 82, X1138194
2021-12-13 11:09:32 INFO::Fitting model to feature number 83, X1138189
2021-12-13 11:09:32 INFO::Fitting model to feature number 84, X398
2021-12-13 11:09:32 INFO::Fitting model to feature number 85, X451876
2021-12-13 11:09:32 INFO::Fitting model to feature number 86, X2583231
2021-12-13 11:09:32 INFO::Fitting model to feature number 87, X1138190
2021-12-13 11:09:32 INFO::Fitting model to feature number 88, X1538158
2021-12-13 11:09:32 INFO::Fitting model to feature number 89, X1368430
2021-12-13 11:09:32 INFO::Fitting model to feature number 90, X2081791
2021-12-13 11:09:32 INFO::Fitting model to feature number 91, X240521
2021-12-13 11:09:32 INFO::Fitting model to feature number 92, X648995
2021-12-13 11:09:32 INFO::Fitting model to feature number 93, X1538159
2021-12-13 11:09:32 INFO::Fitting model to feature number 94, X2267833
2021-12-13 11:09:32 INFO::Fitting model to feature number 95, X448181
2021-12-13 11:09:32 INFO::Fitting model to feature number 96, X358
2021-12-13 11:09:32 INFO::Fitting model to feature number 97, X1176649
2021-12-13 11:09:32 INFO::Fitting model to feature number 98, X373
2021-12-13 11:09:32 INFO::Fitting model to feature number 99, X359
